Date,Open,High,Low,Close,Adj Close,Volume
2013-02-27,327268,327880,319913,323590,321354.9375,72597
2013-02-28,325429,327268,317462,322365,320138.4063,146968
2013-03-04,329106,338299,329106,337073,334744.7813,277664
2013-03-05,343202,346266,336461,336461,334137,161518
2013-03-06,335848,338299,330945,330945,328659.1563,119659
2013-03-07,326655,333396,322978,328493,326224.0625,194964
2013-03-08,334009,339525,330332,335848,333528.25,121225
2013-03-11,334622,337686,318688,323590,321354.9375,311615
2013-03-12,327268,329719,317462,320526,318312.0938,256930
2013-03-13,320526,324203,315623,324203,321963.6875,175152
2013-03-14,324816,326042,319913,322365,320138.4063,121950
2013-03-15,325429,328493,322978,322978,320747.1563,122089
2013-03-18,324203,330332,319913,323590,321354.9375,103027
2013-03-19,327268,337073,326655,334622,332310.7188,147907
2013-03-20,335235,337073,327268,329719,327441.5938,124829
2013-03-21,335235,337073,329719,332171,329876.6875,106425
2013-03-22,335235,337686,330945,337073,334744.7813,123016
2013-03-25,337073,337073,330332,331558,329267.875,98616
2013-03-26,332783,333396,326042,326655,324398.75,125797
2013-03-27,326655,332171,322365,330945,328659.1563,132033
2013-03-28,333396,333396,328493,328493,326224.0625,96623
2013-03-29,333396,343202,330945,339525,337179.875,193509
2013-04-01,343202,362201,341363,360362,357872.9375,257223
2013-04-02,364039,364652,351782,352395,349961,162539
2013-04-03,354846,356685,343815,352395,349961,203556
2013-04-04,352395,356072,346266,351169,348743.4688,150956
2013-04-05,349943,365265,346879,350556,348134.6875,225608
2013-04-08,354234,354234,335848,340138,337788.625,202490
2013-04-09,335235,341976,324203,339525,337179.875,212881
2013-04-10,340138,343202,331558,333396,331093.2188,134444
2013-04-11,335848,345653,331558,343202,340831.4375,119655
2013-04-12,348105,360975,346879,357911,355438.875,210221
2013-04-15,356072,362201,352395,352395,349961,116727
2013-04-16,354234,374458,351169,373232,370654.0313,256730
2013-04-17,373232,376296,360362,362814,360308,175636
2013-04-18,361588,369555,354846,355459,353003.8125,186444
2013-04-19,353621,362814,353008,356685,354221.3438,177205
2013-04-22,353008,357911,351169,354234,351787.25,256113
2013-04-23,357911,359749,348105,356685,354221.3438,247440
2013-04-24,362814,362814,353621,354234,351787.25,230224
2013-04-25,354234,357911,351169,354846,352395.0625,141631
2013-04-26,355459,359136,351169,351169,348743.4688,105074
2013-04-29,354846,354846,349943,351782,349352.1875,107248
2013-04-30,354846,365878,354234,362814,360308,265544
2013-05-02,367716,373845,365878,367716,365176.1563,290820
2013-05-03,372006,373845,363426,366491,363959.625,157749
2013-05-06,368329,372006,364039,364039,361524.5625,117336
2013-05-07,362201,369555,360975,362814,360308,107898
2013-05-08,361588,370168,361588,368329,365784.875,131679
2013-05-09,365878,368942,350556,353621,351178.5,356016
2013-05-10,354234,362201,354234,356072,353612.5625,208959
2013-05-13,356072,359136,345041,357911,355438.875,247003
2013-05-14,350556,357298,349331,354234,351787.25,200767
2013-05-15,353008,362814,350556,359136,356655.4063,326063
2013-05-16,364039,392231,363426,386102,383435.125,363492
2013-05-20,387328,396521,383651,383651,381001.0625,213527
2013-05-21,387328,395908,386102,391005,388304.25,176498
2013-05-22,392231,394069,387328,388554,385870.1875,164935
2013-05-23,385489,386715,377522,378748,376131.9375,181996
2013-05-24,384264,386715,378135,383651,381001.0625,126202
2013-05-27,379361,385489,378748,382425,379783.5313,76319
2013-05-28,385489,393457,383651,386102,383435.125,183874
2013-05-29,386102,390392,384264,389779,387086.7813,113048
2013-05-30,386715,387328,374458,376296,373696.875,229861
2013-05-31,378748,382425,368329,373845,371262.8125,142565
2013-06-03,373845,373845,365265,365265,362742.0938,167575
2013-06-04,365265,368329,358524,358524,356047.5938,184346
2013-06-05,360975,367104,358524,362814,360308,233391
2013-06-07,367716,368942,351169,355459,353003.8125,198765
2013-06-10,355459,364039,353621,361588,359090.4688,95465
2013-06-11,359749,368942,357298,368942,366393.6875,145985
2013-06-12,367104,368942,357298,358524,356047.5938,102095
2013-06-13,356072,357298,342589,342589,340222.7188,315166
